job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,responsibilities,posted_date,scraped_date,source_platform,job_url
Data Analyst (Growth),Kredivo Group,Jakarta Metropolitan Area,N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-12,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/data-analyst-growth-at-kredivo-group-4426979889
Business Analyst & Development,LIXIL,"Jakarta, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/business-analyst-development-at-lixil-4428363938
"Business Analyst, Indonesia",Boston Consulting Group (BCG),"Jakarta, Jakarta, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-12,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/business-analyst-indonesia-at-boston-consulting-group-bcg-4231152058
Full Stack Software Engineer,STEDI Talent Solution,"Jakarta, Jakarta, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/full-stack-software-engineer-at-stedi-talent-solution-4427252799
Fullstack Developer (Vue.js & Golang),MSBU Konsultan,Jakarta Metropolitan Area,N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/fullstack-developer-vue-js-golang-at-msbu-konsultan-4427270020
Technical Lead,Adventus,"Jakarta, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-12,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/technical-lead-at-adventus-4416766353
SAP Fiori Developer,Wolkk.,Indonesia,N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/sap-fiori-developer-at-wolkk-4428346398
Frontend Developer,"NTT DATA, Inc.",Jakarta Metropolitan Area,N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-12,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/frontend-developer-at-ntt-data-inc-4425314053
Senior Frappe Framework Application Developer,PT. Sarana Abadi Makmur Bersama,"East Jakarta, Jakarta, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/senior-frappe-framework-application-developer-at-pt-sarana-abadi-makmur-bersama-4427251339
Backend Developer,"NTT DATA, Inc.",Jakarta Metropolitan Area,N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-12,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/backend-developer-at-ntt-data-inc-4425302889
Software Automation Engineer,LNTECH,"Surabaya, East Java, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-12,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/software-automation-engineer-at-lntech-4428154140
Software Project Engineer | FMS Technology,Hexagon Mining,"Balikpapan, East Kalimantan, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/software-project-engineer-fms-technology-at-hexagon-mining-4417451792
Fullstack NET Developer,Insura Media Solusi,"Jakarta, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/fullstack-net-developer-at-insura-media-solusi-4427288157
"Technical Lead - AI Automation Systems (Remote, Regional Team)",BJAK,Indonesia,N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-12,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/technical-lead-ai-automation-systems-remote-regional-team-at-bjak-4426992837
Cloud Engineer,Viasat,"Batam, Riau Islands, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-12,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/cloud-engineer-at-viasat-4425991021
Onsite Wordpress Developer Surabaya,FruityLOGIC Design | Digital Marketing Agency,"Surabaya, East Java, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/onsite-wordpress-developer-surabaya-at-fruitylogic-design-digital-marketing-agency-4427252761
"Practice Customer Engineer III, Cloud AI, Google Cloud (Bahasa Indonesia)",Google,"Jakarta, Jakarta, Indonesia",N/A,N/A,N/A,Tidak Ditampilkan,N/A,N/A,2026-06-13,2026-06-13,LinkedIn,https://id.linkedin.com/jobs/view/practice-customer-engineer-iii-cloud-ai-google-cloud-bahasa-indonesia-at-google-4417161385
